"ar","lengd","bottom_temp","NW","NE","SW","SE","sum_fjoldi","cum","max(cum)","per"
2015,27,-0.3,"0","0","0","1",0,0,0,NA
2015,36,-0.3,"0","0","0","1",0,0,0,NA
2015,38,-0.3,"0","0","0","1",0,0,0,NA
2015,38,2.9,"0","1","0","0",0,0,0,NA
2015,43,-0.3,"0","1","0","0",0,0,0,NA
2015,43,0.5,"0","1","0","0",0,0,0,NA
2015,44,-0.5,"1","0","0","0",0,0,0,NA
2015,44,-0.3,"0","0","0","1",0,0,0,NA
2015,44,-0.3,"0","1","0","0",0,0,0,NA
2015,45,-0.5,"1","0","0","0",0,0,0,NA
2015,45,-0.3,"0","0","0","1",0,0,0,NA
2015,45,-0.3,"0","1","0","0",0,0,0,NA
2015,45,0,"0","1","0","0",0,0,0,NA
2015,45,0.4,"1","0","0","0",0,0,0,NA
2015,45,0.5,"0","0","0","1",0,0,0,NA
2015,46,-0.5,"0","0","0","1",0,0,0,NA
2015,46,-0.3,"0","0","0","1",0,0,0,NA
2015,46,-0.2,"0","1","0","0",0,0,0,NA
2015,46,0.5,"0","1","0","0",0,0,0,NA
2015,47,-0.5,"0","0","0","1",0,0,0,NA
2015,47,-0.5,"1","0","0","0",0,0,0,NA
2015,47,-0.3,"0","0","0","1",0,0,0,NA
2015,47,-0.3,"0","1","0","0",0,0,0,NA
2015,47,-0.2,"0","1","0","0",0,0,0,NA
2015,47,0.2,"0","0","0","1",0,0,0,NA
2015,47,0.5,"0","1","0","0",0,0,0,NA
2015,47,0.8,"1","0","0","0",0,0,0,NA
2015,47,1.3,"0","0","0","1",0,0,0,NA
2015,48,-0.5,"0","0","0","1",0,0,0,NA
2015,48,-0.5,"1","0","0","0",0,0,0,NA
2015,48,-0.3,"0","0","0","1",0,0,0,NA
2015,48,-0.2,"0","1","0","0",0,0,0,NA
2015,48,0.2,"0","0","0","1",0,0,0,NA
2015,48,0.5,"0","1","0","0",0,0,0,NA
2015,48,0.8,"1","0","0","0",0,0,0,NA
2015,48,1.3,"0","0","0","1",0,0,0,NA
2015,48,1.5,"0","0","0","1",0,0,0,NA
2015,49,-0.5,"0","0","0","1",0,0,0,NA
2015,49,-0.3,"0","0","0","1",0,0,0,NA
2015,49,-0.3,"0","1","0","0",0,0,0,NA
2015,49,-0.2,"0","1","0","0",0,0,0,NA
2015,49,0.2,"0","0","0","1",0,0,0,NA
2015,49,0.5,"0","1","0","0",0,0,0,NA
2015,49,0.8,"1","0","0","0",0,0,0,NA
2015,49,1.3,"0","0","0","1",0,0,0,NA
2015,49,2.2,"0","1","0","0",0,0,0,NA
2015,49,3,"0","1","0","0",0,0,0,NA
2015,50,-0.5,"0","0","0","1",0,0,0,NA
2015,50,-0.3,"0","0","0","1",0,0,0,NA
2015,50,-0.3,"0","1","0","0",0,0,0,NA
2015,50,-0.2,"0","1","0","0",0,0,0,NA
2015,50,0.2,"0","0","0","1",0,0,0,NA
2015,50,0.5,"0","1","0","0",0,0,0,NA
2015,50,0.8,"1","0","0","0",0,0,0,NA
2015,50,2.7,"0","1","0","0",0,0,0,NA
2015,51,-0.5,"0","0","0","1",0,0,0,NA
2015,51,-0.5,"1","0","0","0",0,0,0,NA
2015,51,-0.3,"0","0","0","1",0,0,0,NA
2015,51,-0.3,"0","1","0","0",0,0,0,NA
2015,51,-0.2,"0","1","0","0",0,0,0,NA
2015,51,0.2,"0","0","0","1",0,0,0,NA
2015,51,0.4,"1","0","0","0",0,0,0,NA
2015,51,0.5,"0","1","0","0",0,0,0,NA
2015,51,0.8,"1","0","0","0",0,0,0,NA
2015,51,1.3,"0","0","0","1",0,0,0,NA
2015,52,-0.5,"0","0","0","1",0,0,0,NA
2015,52,-0.5,"1","0","0","0",0,0,0,NA
2015,52,-0.3,"0","0","0","1",0,0,0,NA
2015,52,-0.3,"0","1","0","0",0,0,0,NA
